"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"819",7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,"5"
"1583",6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,"5"
"147",5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,"5"
"13",5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,"5"
"651",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,"5"
"690",8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,"5"
"1058",7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,"5"
"307",7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,"5"
"884",7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,"5"
"917",5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,"5"
"1321",9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,"5"
"16",8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,"5"
"665",12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,"5"
"652",9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,"5"
"767",8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,"5"
"140",7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,"5"
"111",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,"5"
"733",7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,"5"
"931",6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,"5"
"195",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"5"
"662",7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,"5"
"754",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,"5"
"1510",7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,"5"
"1194",6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"5"
"1549",11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,"5"
"1393",7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,"5"
"1338",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,"5"
"787",9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,"5"
"1273",5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,"5"
"1437",10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,"5"
"907",7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,"5"
"722",8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,"5"
"83",7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,"5"
"219",7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,"5"
"982",9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,"5"
"530",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,"5"
"1261",8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,"5"
"1414",9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,"5"
"970",6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,"5"
"846",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,"5"
"1041",7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,"5"
"1401",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,"5"
"1489",5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,"5"
"901",8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,"5"
"1390",6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,"5"
"1156",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,"5"
"794",7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,"5"
"124",8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,"5"
"290",11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,"5"
"743",6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,"5"
"283",7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,"5"
"1387",7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,"5"
"346",7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,"5"
"84",7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,"5"
"588",7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,"5"
"881",9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,"5"
"1385",7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,"5"
"523",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,"5"
"578",8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,"5"
"1371",8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,"5"
"525",9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,"5"
"785",7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,"5"
"906",9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,"5"
"141",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,"5"
"368",10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,"5"
"303",8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,"5"
"1428",7.6,0.41,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,"5"
"1033",8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,"5"
"1560",7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,"5"
"273",10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,"5"
"621",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,"5"
"190",7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,"5"
"179",7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,"5"
"596",8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,"5"
"1519",7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,"5"
"686",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,"5"
"50",5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,"5"
"707",7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,"5"
"153",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,"5"
"1179",5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,"5"
"65",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,"5"
"1345",11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,"5"
"113",8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,"5"
"1487",6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,"5"
"397",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,"5"
"297",10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,"5"
"1439",7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,"5"
"107",7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,"5"
"322",9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,"5"
"717",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,"5"
"851",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,"5"
"105",7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,"5"
"681",13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,"5"
"27",7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,"5"
"683",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,"5"
"401",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,"5"
"723",7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,"5"
"436",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,"5"
"1252",7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,"5"
"745",11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,"5"
"739",9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,"5"
"554",5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,"5"
"1361",9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,"5"
"1398",7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,"5"
"583",11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,"5"
"921",9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,"5"
"625",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,"5"
"1296",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,"5"
"254",7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,"5"
"1355",7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,"5"
"1459",8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,"5"
"1394",8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,"5"
"394",8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,"5"
"434",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,"5"
"1512",7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,"5"
"148",7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,"5"
"420",6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,"5"
"782",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,"5"
"125",7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,"5"
"159",7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,"5"
"540",11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,"5"
"481",10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,"5"
"218",8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,"5"
"1431",7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,"5"
"12",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,"5"
"1501",7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,"5"
"861",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,"5"
"155",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,"5"
"718",7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,"5"
"2",7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,"5"
"865",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,"5"
"188",7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,"5"
"383",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,"6"
"547",7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,"6"
"37",7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,"6"
"1144",7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,"6"
"999",8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,"6"
"868",6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,"6"
"1149",7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,"6"
"1173",9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,"6"
"810",7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,"6"
"1276",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,"6"
"598",11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,"6"
"604",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,"6"
"698",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,"6"
"1065",8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,"6"
"550",9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,"6"
"913",10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,"6"
"1015",8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,"6"
"1530",7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,"6"
"1282",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,"6"
"1169",6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,"6"
"1566",6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,"6"
"1275",7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,"6"
"862",5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,"6"
"1012",8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,"6"
"775",7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,"6"
"101",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,"6"
"1130",10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,"6"
"1577",8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,"6"
"1333",8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,"6"
"1272",7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,"6"
"1237",7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,"6"
"509",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,"6"
"497",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,"6"
"1413",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,"6"
"843",10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,"6"
"185",6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,"6"
"1056",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,"6"
"855",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,"6"
"996",7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,"6"
"887",9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,"6"
"766",9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,"6"
"277",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,"6"
"60",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,"6"
"318",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,"6"
"1081",10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,"6"
"362",8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,"6"
"513",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,"6"
"1119",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,"6"
"1231",7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,"6"
"343",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,"6"
"151",7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,"6"
"287",12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,"6"
"25",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,"6"
"215",7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,"6"
"1587",7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,"6"
"755",7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,"6"
"1104",7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,"6"
"32",6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,"6"
"490",9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,"6"
"134",6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,"6"
"1137",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,"6"
"313",9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,"6"
"1269",6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,"6"
"387",7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,"6"
"882",7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,"6"
"143",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,"6"
"238",7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,"6"
"494",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,"6"
"269",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,"6"
"848",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,"6"
"575",10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,"6"
"1511",6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,"6"
"553",9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,"6"
"227",8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,"6"
"163",7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,"6"
"174",7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,"6"
"243",7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,"6"
"854",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,"6"
"883",8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,"6"
"211",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,"6"
"990",9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,"6"
"1198",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,"6"
"4",11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,"6"
"1146",8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,"6"
"1368",6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,"6"
"1594",6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,"6"
"306",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,"6"
"1457",6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,"6"
"629",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,"6"
"1170",7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,"6"
"427",6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,"6"
"741",8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,"6"
"664",10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,"6"
"791",7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,"6"
"1541",6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,"6"
"1066",7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,"6"
"1061",11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,"6"
"226",7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,"6"
"1154",9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,"6"
"1102",7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,"6"
"542",9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,"6"
"118",7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,"6"
"1105",8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,"6"
"485",10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,"6"
"519",10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,"6"
"1330",7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,"6"
"1446",7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,"6"
"233",8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,"6"
"893",10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,"6"
"1315",7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,"6"
"1195",7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,"6"
"1183",10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,"6"
"1150",10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,"6"
"552",9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,"6"
"55",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,"6"
"1322",5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,"6"
"777",6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,"6"
"1279",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,"6"
"1196",6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,"6"
"1592",5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,"6"
"774",7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,"6"
"1029",7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,"6"
"178",7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,"6"
"1346",8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,"6"
"293",10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,"6"
"87",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,"6"
"1464",6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,"6"
"1138",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,"6"
"670",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,"6"
"398",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,"6"
"716",7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,"6"
"701",10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,"6"
"1425",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,"6"
"984",9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,"6"
"675",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,"6"
"1142",8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,"6"
"1223",8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,"6"
"769",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,"6"
"1114",8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,"6"
"1111",8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,"6"
"1267",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,"6"
"1219",8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,"6"
"1250",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,"6"
"757",6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,"6"
"1529",7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,"6"
"1046",6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,"6"
"221",7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,"6"
"1191",9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,"6"
"1218",8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,"6"
"1085",7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,"6"
"491",9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,"6"
"406",8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,"6"
"1035",8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,"6"
"1268",10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,"6"
"1423",7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,"6"
"386",7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,"6"
"1225",12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,"6"
"404",11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,"6"
"235",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,"6"
"1220",9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,"6"
"1581",7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,"6"
